Hr Org Unit Key,Hr Org Unit Id,Hr Org Unit Title,Hr Org Unit Level,Hr Department Id,Hr Department Code,Hr Department Code Old,Hr Department Name,Hr Department Name Long,Hr Department Name Alpha,Org Hier School Area Name,Org Hier Top Level Name,Org Hier Root Name,Hr Org Level1 Id,Hr Org Level1 Sort,Hr Org Level1 Name,Hr Org Level2 Id,Hr Org Level2 Sort,Hr Org Level2 Name,Hr Org Level3 Id,Hr Org Level3 Sort,Hr Org Level3 Name,Hr Org Level4 Id,Hr Org Level4 Sort,Hr Org Level4 Name,Hr Org Level5 Id,Hr Org Level5 Sort,Hr Org Level5 Name,Dlc Key,Dlc Name,Warehouse Load Date
O10000728,10000728,Office of Minority Education,DEPARTMENTS,10000728.0,HR-441100,441100.0,Office of Minority Education,Office of Minority Education,Office of Minority Education,Dean for Undergraduate Education Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000013.0,182.0,Dean for Undergraduate Education Area,10000728.0,212.0,Office of Minority Education,,,,D_OME,Office of Minority Education,01/08/16 01:03 AM
O10002758,10002758,Dept Administrators & Lab Directors,DEPARTMENTS,10002758.0,HR-020000,20000.0,Dept Administrators & Lab Directors,Dept Administrators & Lab Directors,Department Administrators & Lab Directors,Office of Provost Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000025.0,247.0,Office of Provost Area,10002758.0,263.0,Dept Administrators & Lab Directors,,,,D_PROVOST,Provost's Office,01/08/16 01:03 AM
O10000299,10000299,Aeronautics and Astronautics,DEPARTMENTS,10000299.0,HR-061000,61000.0,Aeronautics and Astronautics,Department of Aeronautics and Astronautics,"Aeronautics and Astronautics, Department of",Engineering Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000018.0,25.0,Engineering Area,10000299.0,56.0,Aeronautics and Astronautics,,,,D_AEROASTRO,Aeronautics and Astronautics,01/08/16 01:03 AM
O10000582,10000582,MIT Energy Initiative,DEPARTMENTS,10000582.0,HR-320000,320000.0,MIT Energy Initiative,MIT Energy Initiative,MIT Energy Initiative,VP Research,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000032.0,281.0,VP Research,10000582.0,303.0,MIT Energy Initiative,,,,D_LFEE,MIT Energy Initiative,01/08/16 01:03 AM
O10003908,10003908,MIT-SUTD Collaboration,DEPARTMENTS,10003908.0,HR-414000,414000.0,MIT-SUTD Collaboration,MIT-SUTD Collaboration,MIT-Sing U of Tech and Design Collaboration,Office of Provost Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000025.0,247.0,Office of Provost Area,10000218.0,248.0,Provost Office,10003908.0,252.0,MIT-SUTD Collaboration,D_SUTD,MIT-SUTD Collaboration,01/08/16 01:03 AM
O10000348,10000348,Lab for Electromagnetic Electronic Sys,DEPARTMENTS,10000348.0,HR-069300,69300.0,Lab for Electromagnetic Electronic Sys,Lab for Electromagnetic & Electronic Systems,Lab for Electromagnetic & Electronic Systems,VP Research,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000032.0,281.0,VP Research,10004058.0,291.0,RLE Area,10000348.0,294.0,Lab for Electromagnetic Electronic Sys,D_RLE,Research Lab Of Electronics,01/08/16 01:03 AM
O10002308,10002308,HASTS-PHD Program,DEPARTMENTS,10002308.0,HR-097050,97050.0,HASTS-PHD Program,HASTS-PHD Program,HASTS-PHD Program,"Humanities, Arts, & Social Sciences Area",Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000020.0,85.0,"Humanities, Arts, & Social Sciences Area",10002308.0,95.0,HASTS-PHD Program,,,,D_STS,"Program In Science, Technology & Society",01/08/16 01:03 AM
O10000927,10000927,Lincoln Property Office,DEPARTMENTS,10000581.0,HR-310000,310000.0,Lincoln Laboratory,Lincoln Laboratory,Lincoln Laboratory,Provost Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000581.0,228.0,Lincoln Laboratory,10000927.0,230.0,Lincoln Property Office,,,,D_LINCOLN,Lincoln Laboratory,01/08/16 01:03 AM
O10000952,10000952,LL-Aerospace,SUB DEPARTMENT,10000581.0,HR-310000,310000.0,Lincoln Laboratory,Lincoln Laboratory,Lincoln Laboratory,Provost Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000581.0,228.0,Lincoln Laboratory,10000952.0,240.0,LL-Aerospace,,,,D_LINCOLN,Lincoln Laboratory,01/08/16 01:03 AM
O10002134,10002134,LL-Human Resources Department,SUB DEPARTMENT,10000581.0,HR-310000,310000.0,Lincoln Laboratory,Lincoln Laboratory,Lincoln Laboratory,Provost Area,Provost Area,MIT-All,10000000.0,1.0,MIT-All,10000001.0,2.0,Provost Area,10000581.0,228.0,Lincoln Laboratory,10002134.0,244.0,LL-Human Resources Department,,,,D_LINCOLN,Lincoln Laboratory,01/08/16 01:03 AM
