Hr Org Unit Key,Hr Org Unit Id,Hr Org Unit Title,Hr Org Unit Level,Hr Department Id,Hr Department Code,Hr Department Code Old,Hr Department Name,Hr Department Name Long,Hr Department Name Alpha,Org Hier School Area Name,Org Hier Top Level Name,Org Hier Root Name,Hr Org Level1 Id,Hr Org Level1 Sort,Hr Org Level1 Name,Hr Org Level2 Id,Hr Org Level2 Sort,Hr Org Level2 Name,Hr Org Level3 Id,Hr Org Level3 Sort,Hr Org Level3 Name,Hr Org Level4 Id,Hr Org Level4 Sort,Hr Org Level4 Name,Hr Org Level5 Id,Hr Org Level5 Sort,Hr Org Level5 Name,Dlc Key,Warehouse Load Date
O10003963,10003963,MA Green High Performance Computing Ctr,DEPARTMENTS,10003963,HR-401202,401202,MA Green High Performance Computing Ctr,Massachusetts Green High Performance Computing Ctr,Massachusetts Green High Performance Computing Ctr,Other Org Units,Other Org Units,MIT-All,10000000,1.00,MIT-All,19999000,437.00,Other Org Units,10003963,439.00,MA Green High Performance Computing Ctr,"","","","","","",D_MGHPCC,01/08/16 01:03 AM
O10004208,10004208,Masdar,DEPARTMENTS,10004208,HR-401801,401801,Masdar,Masdar,Masdar,Office of Provost Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000025,247.00,Office of Provost Area,10000218,248.00,Provost Office,10004208,253.00,Masdar,D_MASDAR,01/08/16 01:03 AM
O10004235,10004235,Campaign Planning,DEPARTMENTS,10004235,HR-410091,410091,Campaign Planning,Campaign Planning,"",VP for Resource Development,Executive Vice President Area,MIT-All,10000000,1.00,MIT-All,10000002,316.00,Executive Vice President Area,10000035,401.00,VP for Resource Development,10000187,402.00,Office VP Resource Development,10004235,406.00,Campaign Planning,D_RESDEV,01/08/16 01:03 AM
O10004308,10004308,PE International Programs,DEPARTMENTS,10004308,HR-061801,061801,PE International Programs,PE International Programs,Professional Education International Programs,Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10000954,26.00,Professional Education Programs Area,10004308,28.00,PE International Programs,D_PEP,01/08/16 01:03 AM
O10004358,10004358,edX,DEPARTMENTS,10004358,HR-401818,401818,edX,edX,edX,Office of Provost Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000025,247.00,Office of Provost Area,10004583,264.00,Digital Learning Area,10004358,266.00,edX,D_EDX,01/08/16 01:03 AM
O10004434,10004434,Alumni Association Communications,DEPARTMENTS,10004434,HR-871090,871090,Alumni Association Communications,Alumni Association Communications,Alumni Association Communications,Alumni Association Area,Executive Vice President Area,MIT-All,10000000,1.00,MIT-All,10000002,316.00,Executive Vice President Area,10004183,349.00,Alumni Association Area,10004434,355.00,Alumni Association Communications,"","","",D_ALUM,01/08/16 01:03 AM
O10004534,10004534,Financial Operations,DEPARTMENTS,10004534,HR-423301,423301,Financial Operations,Financial Operations,"",VP for Finance Area,Executive Vice President Area,MIT-All,10000000,1.00,MIT-All,10000002,316.00,Executive Vice President Area,10003333,323.00,VP for Finance Area,10003683,326.00,Financial Operations Area,10004534,332.00,Financial Operations,D_CAS,01/08/16 01:03 AM
O10004683,10004683,Office of Risk Management,DEPARTMENTS,10004683,HR-405718,405718,Office of Risk Management,Office of Risk Management,Office of Risk Management,President & Chairman of the Corporation,President & Chairman of the Corporation,MIT-All,10000000,1.00,MIT-All,10000003,425.00,President & Chairman of the Corporation,10004683,436.00,Office of Risk Management,"","","","","","",D_SENIOR,01/08/16 01:03 AM
O10004758,10004758,MIT Professional Education OnlineX,DEPARTMENTS,10004758,HR-061802,061802,MIT Professional Education OnlineX,MIT Professional Education OnlineX,"",Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10000954,26.00,Professional Education Programs Area,10004758,29.00,MIT Professional Education OnlineX,D_PEP,01/08/16 01:03 AM
O10000666,10000666,Office of School Development Services,DEPARTMENTS,10000666,HR-410070,410070,Office of School Development Services,Office of School Development Services,"School Development Services, Office of",VP for Resource Development,Executive Vice President Area,MIT-All,10000000,1.00,MIT-All,10000002,316.00,Executive Vice President Area,10000035,401.00,VP for Resource Development,10000187,402.00,Office VP Resource Development,10000666,416.00,Office of School Development Services,D_RESDEV,01/08/16 01:03 AM
O10000672,10000672,Intellectual Property Counsel,DEPARTMENTS,10000672,HR-416000,416000,Intellectual Property Counsel,Intellectual Property Counsel,Intellectual Property Counsel,VP Research,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000032,281.00,VP Research,10000672,308.00,Intellectual Property Counsel,"","","",D_IPCOUNSEL,01/08/16 01:03 AM
O10000273,10000273,Urban Studies & Planning,DEPARTMENTS,10000273,HR-035000,035000,Urban Studies & Planning,Department of Urban Studies and Planning,"Urban Studies & Planning, Department of",Architecture & Planning Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000005,7.00,Architecture & Planning Area,10000273,22.00,Urban Studies & Planning,"","","",D_DUSP,01/08/16 01:03 AM
O10000294,10000294,Microsystems Technology Laboratories,DEPARTMENTS,10000294,HR-060600,060600,Microsystems Technology Laboratories,Microsystems Technology Laboratories,Microsystems Technology Laboratories,Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10000294,67.00,Microsystems Technology Laboratories,"","","",D_MTL,01/08/16 01:03 AM
O10000299,10000299,Aeronautics and Astronautics,DEPARTMENTS,10000299,HR-061000,061000,Aeronautics and Astronautics,Department of Aeronautics and Astronautics,"Aeronautics and Astronautics, Department of",Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10000299,56.00,Aeronautics and Astronautics,"","","",D_AEROASTRO,01/08/16 01:03 AM
O10000322,10000322,Electrical Engineering-Computer Science,DEPARTMENTS,10000322,HR-064000,064000,Electrical Engineering-Computer Science,Dept of Electrical Engineering & Computer Science,"Electrical Engineering & Computer Science, Dept of",Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10000322,60.00,Electrical Engineering-Computer Science,"","","",D_EECS,01/08/16 01:03 AM
O10000327,10000327,Archaeology,DEPARTMENTS,10000327,HR-066100,066100,Archaeology,Department of Archaeology,"Archaeology, Department of",Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10000327,72.00,Archaeology,"","","",D_ARCHAE,01/08/16 01:03 AM
O10000331,10000331,Nuclear Science and Engineering,DEPARTMENTS,10000331,HR-068000,068000,Nuclear Science and Engineering,Department of Nuclear Science and Engineering,"Nuclear Science and Engineering, Dept of",Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10003508,40.00,Nuclear Science & Engineering Area,10000331,41.00,Nuclear Science and Engineering,D_NUCENG,01/08/16 01:03 AM
O10000335,10000335,Project I-Campus,DEPARTMENTS,10000335,HR-068400,068400,Project I-Campus,Project I-Campus,Project I-Campus,Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10000335,76.00,Project I-Campus,"","","",D_ICAMPUS,01/08/16 01:03 AM
O10000348,10000348,Lab for Electromagnetic Electronic Sys,DEPARTMENTS,10000348,HR-069300,069300,Lab for Electromagnetic Electronic Sys,Lab for Electromagnetic & Electronic Systems,Lab for Electromagnetic & Electronic Systems,VP Research,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000032,281.00,VP Research,10004058,291.00,RLE Area,10000348,294.00,Lab for Electromagnetic Electronic Sys,D_RLE,01/08/16 01:03 AM
O10000352,10000352,Lab for Manufacturing & Productivity,DEPARTMENTS,10000352,HR-069700,069700,Lab for Manufacturing & Productivity,Laboratory for Manufacturing and Productivity,Lab for Manufacturing & Productivity,Engineering Area,Provost Area,MIT-All,10000000,1.00,MIT-All,10000001,2.00,Provost Area,10000018,25.00,Engineering Area,10004983,47.00,Mechanical Eng Area,10000352,50.00,Lab for Manufacturing & Productivity,D_MECHE,01/08/16 01:03 AM
