Fclt Building Address Key,Fclt Building Key,Fiscal Period,Fclt Building Address Hist Key,Building Number,Address Purpose,Address City Id,Is E911 Address,Street Number,Street Number Suffix,Pre Directional,Street Name,Street Suffix,Post Directional,City,State,Postal Code,Warehouse Load Date
W85B-STREET,W85B,201509,W85B-STREET-201509,W85B,STREET,27034,"",13,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85C-E911_1,W85C,201509,W85C-E911_1-201509,W85C,E911_1,27325,"",15,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85C-PARCL1,W85C,201509,W85C-PARCL1-201509,W85C,PARCL1,"","",MEM545R,"","","","","","","",02139,04/01/15 05:12 AM
W85C-STREET,W85C,201509,W85C-STREET-201509,W85C,STREET,27325,"",15,"","",AUDREY,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85D-E911_1,W85D,201509,W85D-E911_1-201509,W85D,E911_1,28662,"",292,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85D-PARCL1,W85D,201509,W85D-PARCL1-201509,W85D,PARCL1,"","",MEM545R,"","","","","","","",02139,04/01/15 05:12 AM
W85D-STREET,W85D,201509,W85D-STREET-201509,W85D,STREET,28662,"",292,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85DE-E911_1,W85DE,201509,W85DE-E911_1-201509,W85DE,E911_1,588,"",290,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85DE-E911_2,W85DE,201509,W85DE-E911_2-201509,W85DE,E911_2,28662,"",292,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85DE-STREET,W85DE,201509,W85DE-STREET-201509,W85DE,STREET,"","",292-290,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85E-E911_1,W85E,201509,W85E-E911_1-201509,W85E,E911_1,588,"",290,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85E-PARCL1,W85E,201509,W85E-PARCL1-201509,W85E,PARCL1,"","",MEM545R,"","","","","","","",02139,04/01/15 05:12 AM
W85E-STREET,W85E,201509,W85E-STREET-201509,W85E,STREET,588,"",290,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85F-E911_1,W85F,201509,W85F-E911_1-201509,W85F,E911_1,28625,"",286,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85F-PARCL1,W85F,201509,W85F-PARCL1-201509,W85F,PARCL1,"","",MEM545R,"","","","","","","",02139,04/01/15 05:12 AM
W85F-STREET,W85F,201509,W85F-STREET-201509,W85F,STREET,28625,"",286,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85FG-E911_1,W85FG,201509,W85FG-E911_1-201509,W85FG,E911_1,590,"",284,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85FG-E911_2,W85FG,201509,W85FG-E911_2-201509,W85FG,E911_2,28625,"",286,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85FG-STREET,W85FG,201509,W85FG-STREET-201509,W85FG,STREET,"","",286-284,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85G-E911_1,W85G,201509,W85G-E911_1-201509,W85G,E911_1,590,"",284,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85G-PARCL1,W85G,201509,W85G-PARCL1-201509,W85G,PARCL1,"","",MEM545R,"","","","","","","",02139,04/01/15 05:12 AM
W85G-STREET,W85G,201509,W85G-STREET-201509,W85G,STREET,590,"",284,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85H-E911_1,W85H,201509,W85H-E911_1-201509,W85H,E911_1,"","",282,R,"",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85H-PARCL1,W85H,201509,W85H-PARCL1-201509,W85H,PARCL1,"","",MEM545R,"","","","","","","",02139,04/01/15 05:12 AM
W85H-STREET,W85H,201509,W85H-STREET-201509,W85H,STREET,"","",282,"","",VASSAR,ST,(Rear),CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85HJK-E911_1,W85HJK,201509,W85HJK-E911_1-201509,W85HJK,E911_1,592,"",278,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85HJK-E911_2,W85HJK,201509,W85HJK-E911_2-201509,W85HJK,E911_2,28605,"",280,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85HJK-E911_3,W85HJK,201509,W85HJK-E911_3-201509,W85HJK,E911_3,28610,"",282,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85HJK-STREET,W85HJK,201509,W85HJK-STREET-201509,W85HJK,STREET,"","",282-280-278,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85J-E911_1,W85J,201509,W85J-E911_1-201509,W85J,E911_1,"","",280,R,"",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
W85J-STREET,W85J,201509,W85J-STREET-201509,W85J,STREET,"","",280,"","",VASSAR,ST,(Rear),CAMBRIDGE,MA,02139,04/01/15 05:12 AM
