Subject Key,Subject Offered Summary Key,Master Subject Key,Composite Subject Key,Term Code,Master Course Number,Master Course Number Sort,Master Course Number Desc,Master Subject Id,Master Subject Id Sort,Course Number,Course Number Sort,Course Number Desc,Subject Id,Subject Id Sort,Subject Title,Section Id,Is Master Section,Is Lecture Section,Is Lab Section,Is Recitation Section,Is Design Section,Offer Dept Code,Offer Dept Name,Offer School Name,Responsible Faculty Name,Responsible Faculty Mit Id,Meet Time,Meet Place,Cluster Type,Cluster Type Desc,Cluster List,Hgn Code,Hgn Code Desc,Form Type,Form Type Desc,Subject Enrollment Number,Section Enrollment Number,Cluster Enrollment Number,Evaluate This Subject,Is Ose Subject,Is Created By Data Warehouse,Subject Grouping Key,Warehouse Load Date,Num Enrolled Students,Subject Summary Key,Is Repeatable Subject
006034R021998FA,6.0341998FA,006034R021998FA,6.0341998FA,1998FA,6,6,Electrical Eng & Computer Sci,6.034,6.034,6,6,Electrical Eng & Computer Sci,6.034,6.034,Artificial Intelligence,R02,N,N,N,Y,N,6,Electrical Eng & Computer Sci,Engineering,,,TR11, 34-302,,,,N,Not for graduate credit,,,,,,N,,N,86CD649591D20327E0440003BACE90BC,5/8/01 0:00,0,6.0341998FA,N
006034R051998FA,6.0341998FA,006034R051998FA,6.0341998FA,1998FA,6,6,Electrical Eng & Computer Sci,6.034,6.034,6,6,Electrical Eng & Computer Sci,6.034,6.034,Artificial Intelligence,R05,N,N,N,Y,N,6,Electrical Eng & Computer Sci,Engineering,,,TR2, 34-301,,,,N,Not for graduate credit,,,,,,N,,N,86CD649591D20327E0440003BACE90BC,5/8/01 0:00,0,6.0341998FA,N
006034R101998FA,6.0341998FA,006034R101998FA,6.0341998FA,1998FA,6,6,Electrical Eng & Computer Sci,6.034,6.034,6,6,Electrical Eng & Computer Sci,6.034,6.034,Artificial Intelligence,R10,N,N,N,Y,N,6,Electrical Eng & Computer Sci,Engineering,,,TR1, 24-407,,,,N,Not for graduate credit,,,,,,N,,N,86CD649591D20327E0440003BACE90BC,5/8/01 0:00,0,6.0341998FA,N
006035R031998FA,6.0351998FA,006035R031998FA,6.0351998FA,1998FA,6,6,Electrical Eng & Computer Sci,6.035,6.035,6,6,Electrical Eng & Computer Sci,6.035,6.035,Computer Language Engineering,R03,N,N,N,Y,N,6,Electrical Eng & Computer Sci,Engineering,,,TR11, 36-839,,,,N,Not for graduate credit,,,,,,N,,N,86CD649591D30327E0440003BACE90BC,5/8/01 0:00,0,6.0351998FA,N
006001R031998FA,6.0011998FA,006001R031998FA,6.0011998FA,1998FA,6,6,Electrical Eng & Computer Sci,6.001,6.001,6,6,Electrical Eng & Computer Sci,6.001,6.001,Struct & Interp:Computer Progs,R03,N,N,N,Y,N,6,Electrical Eng & Computer Sci,Engineering,,,WF11, 13-5101,,,,N,Not for graduate credit,,,,,,N,,N,86CD649591CA0327E0440003BACE90BC,5/8/01 0:00,0,6.0011998FA,N
006001R051998FA,6.0011998FA,006001R051998FA,6.0011998FA,1998FA,6,6,Electrical Eng & Computer Sci,6.001,6.001,6,6,Electrical Eng & Computer Sci,6.001,6.001,Struct & Interp:Computer Progs,R05,N,N,N,Y,N,6,Electrical Eng & Computer Sci,Engineering,,,WF1, 13-4101,,,,N,Not for graduate credit,,,,,,N,,N,86CD649591CA0327E0440003BACE90BC,5/8/01 0:00,0,6.0011998FA,N
005310B021998FA,5.3101998FA,005310B021998FA,5.3101998FA,1998FA,5,5,Chemistry,5.31,5.31,5,5,Chemistry,5.31,5.31,Laboratory Chemistry,B02,N,N,Y,N,N,5,Chemistry,Science,,,TR1-5 (SEE R02),  4-430,,,,N,Not for graduate credit,,,,,,N,,N,86CD649591BB0327E0440003BACE90BC,5/8/01 0:00,0,5.3101998FA,N
005311B011998FA,5.3111998FA,005311B011998FA,5.3111998FA,1998FA,5,5,Chemistry,5.311,5.311,5,5,Chemistry,5.311,5.311,Intro Chemical Experimentation,B01,N,N,Y,N,N,5,Chemistry,Science,,,MW1-5 (SEE R01),  4-430,,,,N,Not for graduate credit,,,,,,N,,N,86CD649591BC0327E0440003BACE90BC,5/8/01 0:00,0,5.3111998FA,N
0055110001998FA,5.5111998FA,0055110001998FA,5.5111998FA,1998FA,5,5,Chemistry,5.511,5.511,5,5,Chemistry,5.511,5.511,Synthetic Organic Chemistry I,0,Y,N,N,N,N,5,Chemistry,Science,"Danheiser, Rick",900016372,,,,,,H,Higher level graduate program,,,18,18,,N,,N,86CD649591BD0327E0440003BACE90BC,5/8/01 0:00,18,5.5111998FA,N
00560L011998FA,5.601998FA,00560L011998FA,5.601998FA,1998FA,5,5,Chemistry,5.6,5.6,5,5,Chemistry,5.6,5.6,Thermodynamics & Kinetics,L01,N,Y,N,N,N,5,Chemistry,Science,,,MWF10, 54-100,,,,N,Not for graduate credit,,,,,,N,,N,86CD6495902B0327E0440003BACE90BC,5/8/01 0:00,0,5.601998FA,N
