Hierarchy Type,Link Type Code,Link Type,Dlc Key,Dlc Code,Linked Object Key,Linked Object Code
Standard Hierarchy,FC,Standard Funds Center,D_DMSE,D_DMSE,FC_DMSE103,FC_DMSE103
Standard Hierarchy,FC,Standard Funds Center,D_DL,D_DL,FC_DL03,FC_DL03
Standard Hierarchy,FC,Standard Funds Center,D_MECHE,D_MECHE,FC_MECHENG159,FC_MECHENG159
Compact DLC Hierarchy,FC,Standard Funds Center,D_LIDS,D_LIDS,FC209290,FC209290
Standard Hierarchy,FC,Standard Funds Center,D_CHEME,D_CHEME,FC208710,FC208710
Compact DLC Hierarchy,FC,Standard Funds Center,D_CMS,D_CMS,FC208679,FC208679
Compact DLC Hierarchy,FORG,Facilities Org.,D_LIBRARIES,D_LIBRARIES,148,148
Standard Hierarchy,FC,Standard Funds Center,D_PEP,D_PEP,FC_PEP119,FC_PEP119
Standard Hierarchy,FC,Standard Funds Center,D_KI,D_KI,FC_KI40,FC_KI40
Standard Hierarchy,ORG2,New Org. Unit,D_LINCOLN,D_LINCOLN,O10004458,10004458
Standard Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC_LFEE252,FC_LFEE252
Standard Hierarchy,FC,Standard Funds Center,D_CMS,D_CMS,FC100089,FC100089
