Fclt Building Hist Key,Fiscal Period,Fclt Building Key,Building Number,Parent Building Number,Parent Building Name,Parent Building Name Long,Building Name Long,Ext Gross Area,Assignable Area,Non Assignable Area,Site,Campus Sector,Access Level Code,Access Level Name,Building Type,Ownership Type,Building Use,Occupancy Class,Building Height,Cost Center Code,Cost Collector Key,Latitude Wgs,Longitude Wgs,Easting X Spcs,Northing Y Spcs,Building Sort,Building Named For,Building Name,Date Built,Date Acquired,Date Occupied,Warehouse Load Date,Num Of Rooms
OC22-201605,201605,OC22,OC22,"","","",Westford Optics Facility (Haystack),881.78,794.16,0.03,HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGB,"",1878000,1878000,42.61186,-71.48467,"660,292.40228","3,047,999.88535",OC22,-,WESTFORD OPTICS FACILITY (HAYSTACK),"","","",12/01/15 05:12 AM,3
OC23-201605,201605,OC23,OC23,"","","",Wallace Geophysical Observatory,"2,034.38","1,617.25",0,HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGB,"",1878100,1878100,42.61006,-71.48989,"658,888.89276","3,047,344.64548",OC23,GEORGE R. WALLACE JR.,WALLACE GEOPHYSICAL OBSERVATORY,"","",05/20/70 12:00 AM,12/01/15 05:12 AM,6
OC24-201605,201605,OC24,OC24,"","","",Haystack Antenna Facility,"9,060.39","7,042.49",849.63,HAY,OFFCAMPUS,1.00,1,ACADEMIC,LEASED,AER,UGB,"","","",42.61305,-71.49373,"657,854.40782","3,048,434.27866",OC24,-,HAYSTACK ANTENNA FACILITY,"","",01/01/80 12:00 AM,12/01/15 05:12 AM,31
OC25-201605,201605,OC25,OC25,"","","",Haystack Observatory,"42,922.56","32,925.58","4,266.76",HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGB,"","","",42.62335,-71.48824,"659,331.98663","3,052,186.76552",OC25,-,HAYSTACK OBSERVATORY,"","","",12/01/15 05:12 AM,155
OC26-201605,201605,OC26,OC26,"","","",Haystack Atmospheric Sciences Building,"1,396.85","1,220.02",30.67,HAY,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,UGB,"","","",42.61878,-71.49063,"658,688.02823","3,050,520.56256",OC26,-,HAYSTACK ATMOSPHERIC SCIENCES BUILDING,"","","",12/01/15 05:12 AM,10
OC31-201605,201605,OC31,OC31,"","","",Katahdin Hill 1,"21,163.64","13,246.98","5,884.84",LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC31,-,KATAHDIN HILL 1,"","","",12/01/15 05:12 AM,95
OC32-201605,201605,OC32,OC32,"","","",Lexington Field House,"18,635.38","14,812.52","2,425.79",LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC32,-,LEXINGTON FIELD HOUSE,"","","",12/01/15 05:12 AM,19
OC33-201605,201605,OC33,OC33,"","","",Annex 3,"12,421.75","8,671.97","2,463.49",LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC33,-,ANNEX 3,"","","",12/01/15 05:12 AM,37
OC35-201605,201605,OC35,OC35,"","","",Annex V,"25,834.27","16,761.01","6,385.23",LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC35,-,ANNEX V,"","","",12/01/15 05:12 AM,91
OC36-201605,201605,OC36,OC36,"","","",Annex 6,"6,910.33","4,364.63","1,851.64",LINC,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,OTH,(NULL),"","","","","","","",OC36,-,ANNEX 6,"","","",12/01/15 05:12 AM,28
